19660,20895,22125,
23345,24550,25736,
26898,28032,29132,
30195,31217,32193,
33119,33992,34809,
35566,36260,36889,
37450,37940,38359,
38703,38973,39166,
39282,39321,39282,
39166,38973,38703,
38359,37940,37450,
36889,36260,35566,
34809,33992,33119,
32193,31217,30195,
29132,28032,26898,
25736,24550,23345,
22125,20895,19661,
18426,17196,15976,
14771,13585,12423,
11289,10189,9126,
8104,7128,6202,
5329,4512,3755,
3061,2432,1871,
1381,962,618,
348,155,39,
0,39,155,
348,618,962,
1381,1871,2432,
3061,3755,4512,
5329,6202,7128,
8104,9126,10189,
11289,12423,13585,
14771,15976,17196,
18426
